epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,6530.95,1.2943,0.9355,0.00711,0.78749,0.63502,0.70711,0.48301,1.09243,0.64612,0.00674,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,6601.54,1.29577,0.93702,0.00703,0.77849,0.64509,0.70658,0.48294,1.0912,0.6437,0.00673,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,6672.34,1.28958,0.92692,0.00704,0.78047,0.64831,0.7104,0.48569,1.09053,0.642,0.00672,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,6743.28,1.29836,0.92338,0.00697,0.78106,0.6557,0.71282,0.48758,1.08916,0.64011,0.00671,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,6814.25,1.29651,0.92282,0.00706,0.78161,0.65452,0.71429,0.48866,1.08721,0.63859,0.00668,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6885.43,1.30152,0.93244,0.00704,0.7832,0.65379,0.71493,0.48987,1.08583,0.63677,0.00666,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,6956,1.28907,0.91507,0.00691,0.78152,0.6541,0.71657,0.49137,1.08447,0.63525,0.00664,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,7026.56,1.29184,0.91444,0.00692,0.77823,0.6535,0.7175,0.49196,1.08265,0.6344,0.00662,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,7097.74,1.29187,0.91255,0.00692,0.78837,0.64987,0.71803,0.49284,1.08199,0.63258,0.00661,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,7168.16,1.29396,0.9232,0.00687,0.78968,0.6507,0.71894,0.49264,1.07969,0.6305,0.00659,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,7239.49,1.2825,0.91132,0.00692,0.79246,0.64995,0.7193,0.49375,1.07839,0.62965,0.00657,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,7310.39,1.28208,0.90463,0.00698,0.79301,0.65196,0.72185,0.49623,1.07735,0.62656,0.00656,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,7381.26,1.28461,0.90819,0.00689,0.79814,0.65607,0.72483,0.49818,1.07626,0.62485,0.00655,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,7452.19,1.28191,0.90789,0.00688,0.80295,0.65605,0.72605,0.49926,1.07468,0.62378,0.00653,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,7523.65,1.28172,0.89756,0.00689,0.79229,0.65982,0.72531,0.49943,1.07322,0.62238,0.00652,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,7594.41,1.28041,0.90008,0.00678,0.80075,0.66009,0.72751,0.50055,1.07174,0.61988,0.0065,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,7664.4,1.27715,0.89374,0.00685,0.80111,0.66142,0.72703,0.50072,1.07027,0.61879,0.00648,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,7734.9,1.27356,0.8911,0.00678,0.79843,0.66265,0.72797,0.5012,1.06926,0.61684,0.00646,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7806.38,1.27335,0.89266,0.00682,0.80631,0.65787,0.72909,0.5029,1.06774,0.61563,0.00645,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,7876.76,1.27636,0.88935,0.00671,0.80031,0.66054,0.72971,0.50332,1.06673,0.61368,0.00644,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7947.12,1.2711,0.89025,0.0068,0.8073,0.65992,0.73127,0.50518,1.06552,0.61208,0.00642,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,8018.29,1.26935,0.88515,0.00679,0.80703,0.66335,0.73224,0.50638,1.06433,0.61106,0.00641,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,8089.44,1.27094,0.88319,0.00672,0.80884,0.66208,0.73324,0.50736,1.06346,0.60946,0.0064,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,8159.93,1.271,0.88821,0.00678,0.80612,0.66407,0.73417,0.50839,1.06216,0.60844,0.00638,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,8230.7,1.25325,0.87214,0.00677,0.8094,0.66416,0.73493,0.51027,1.06032,0.60678,0.00636,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,8301.5,1.26459,0.88062,0.00677,0.8095,0.66538,0.73581,0.51051,1.05905,0.6059,0.00635,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,8372.08,1.26819,0.87429,0.00675,0.8083,0.66379,0.73632,0.51109,1.05814,0.60476,0.00634,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,8442.19,1.26908,0.88135,0.00675,0.80517,0.66563,0.73662,0.51147,1.05715,0.60381,0.00633,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,8513.01,1.26051,0.87511,0.00666,0.81415,0.66258,0.73781,0.51242,1.05652,0.6022,0.00632,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,8583.83,1.25922,0.86448,0.00664,0.80903,0.66483,0.73851,0.51339,1.05593,0.60083,0.00631,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,8653.79,1.24848,0.85837,0.00667,0.80778,0.66531,0.73878,0.51384,1.05505,0.59942,0.0063,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,8724.22,1.25874,0.86061,0.00657,0.80716,0.66761,0.73892,0.51415,1.05411,0.59915,0.00629,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,8795.89,1.25298,0.8606,0.00659,0.80517,0.66753,0.73909,0.51431,1.0531,0.59833,0.00628,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,8865.96,1.25213,0.86255,0.00668,0.80302,0.66804,0.73932,0.51485,1.0524,0.59688,0.00627,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
